"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	Conservative Party of Canada	Parti conservateur du Canada	Duarte	Steven			28-Aug-21	9:30:00
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	Green Party of Canada	Le Parti Vert du Canada	Joli-Coeur	Luc			30-Aug-21	5:00:00
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	Liberal Party of Canada	Parti libéral du Canada	Joly	Mélanie		(438) 380-4632	30-Aug-21	12:00:00
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	Bloc Québécois	Bloc Québécois	Simonyan	Anna			30-Aug-21	2:00:00
24004	Alfred-Pellan	Alfred-Pellan	Free Party Canada	Parti Libre Canada	Cappelletti	Dwayne			30-Aug-21	9:30:00
24004	Alfred-Pellan	Alfred-Pellan	Green Party of Canada	Le Parti Vert du Canada	Corneillet	Pierre-Alexandre			31-Aug-21	8:30:00
24004	Alfred-Pellan	Alfred-Pellan	Conservative Party of Canada	Parti conservateur du Canada	D'Anello	Angiolino		(514) 969-2012	28-Aug-21	2:30:00
24004	Alfred-Pellan	Alfred-Pellan	Bloc Québécois	Bloc Québécois	Dion	Isabel		(438) 922-8971	31-Aug-21	12:30:00
24004	Alfred-Pellan	Alfred-Pellan	Liberal Party of Canada	Parti libéral du Canada	Iacono	Angelo		(450) 575-0920	25-Aug-21	2:00:00
24004	Alfred-Pellan	Alfred-Pellan	New Democratic Party	Nouveau Parti démocratique	Mercer	Cindy			30-Aug-21	10:30:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	Bloc Québécois	Bloc Québécois	Destroismaisons	Yves			24-Aug-21	10:30:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	Liberal Party of Canada	Parti libéral du Canada	Lauzon	Stéphane			26-Aug-21	1:30:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	Conservative Party of Canada	Parti conservateur du Canada	Louis-Seize	Marie			29-Aug-21	6:30:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	Free Party Canada	Parti Libre Canada	Lynes	Paul			30-Aug-21	1:00:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	People's Party of Canada	Parti populaire du Canada	Vachon	Marc			29-Aug-21	10:30:00
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	New Democratic Party	Nouveau Parti démocratique	Welt	Michel			28-Aug-21	12:00:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	People's Party of Canada	Parti populaire du Canada	Barnabé	Eric			27-Aug-21	6:00:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	Conservative Party of Canada	Parti conservateur du Canada	Dumas	Germain			27-Aug-21	12:00:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	Free Party Canada	Parti Libre Canada	Gendron	Mélanie		(418) 788-5221	30-Aug-21	4:30:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	New Democratic Party	Nouveau Parti démocratique	Marchand	Christel			28-Aug-21	12:00:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	Bloc Québécois	Bloc Québécois	MICHAUD	Kristina		(418) 631-5321	21-Aug-21	9:30:00
24006	Avignon--La Mitis--Matane--Matapédia	Avignon--La Mitis--Matane--Matapédia	Liberal Party of Canada	Parti libéral du Canada	Savoie	Louis-Éric			29-Aug-21	11:00:00
24007	Beauce	Beauce	People's Party of Canada	Parti populaire du Canada	Bernier	Maxime			25-Aug-21	9:30:00
24007	Beauce	Beauce	Free Party Canada	Parti Libre Canada	Giguère	Chantale			28-Aug-21	4:30:00
24007	Beauce	Beauce	New Democratic Party	Nouveau Parti démocratique	Jacques-Côté	François			29-Aug-21	4:00:00
24007	Beauce	Beauce	Liberal Party of Canada	Parti libéral du Canada	Langlois	Philippe-Alexandre			22-Aug-21	6:00:00
24007	Beauce	Beauce	Conservative Party of Canada	Parti conservateur du Canada	Lehoux	Richard		(418) 420-0156	20-Aug-21	8:00:00
24007	Beauce	Beauce	Marijuana Party	Parti Marijuana	Tanguay	Sébastien		(418) 905-0320	26-Aug-21	2:00:00
24007	Beauce	Beauce	Bloc Québécois	Bloc Québécois	Thibodeau	Solange		(418) 221-7896	30-Aug-21	12:30:00
24007	Beauce	Beauce	Green Party of Canada	Le Parti Vert du Canada	Wisniowski	Andrzej			29-Aug-21	8:00:00
24008	Beauport--Limoilou	Beauport--Limoilou	Conservative Party of Canada	Parti conservateur du Canada	Clarke	Alupa		(418) 476-4474	25-Aug-21	6:30:00
24008	Beauport--Limoilou	Beauport--Limoilou	Green Party of Canada	Le Parti Vert du Canada	Elhak	Dalila		(418) 261-5097	30-Aug-21	11:30:00
24008	Beauport--Limoilou	Beauport--Limoilou	New Democratic Party	Nouveau Parti démocratique	Garon	Camille Esther			26-Aug-21	4:30:00
24008	Beauport--Limoilou	Beauport--Limoilou	Liberal Party of Canada	Parti libéral du Canada	Gingras	Ann			25-Aug-21	12:30:00
24008	Beauport--Limoilou	Beauport--Limoilou	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Moreau	Claude		(613) 792-4475	30-Aug-21	2:00:00
24008	Beauport--Limoilou	Beauport--Limoilou	Free Party Canada	Parti Libre Canada	Verret	Lyne			28-Aug-21	9:30:00
24008	Beauport--Limoilou	Beauport--Limoilou	Bloc Québécois	Bloc Québécois	Vignola	Julie		(581) 909-8738	28-Aug-21	12:30:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	Free Party Canada	Parti Libre Canada	Blanchette	André			30-Aug-21	3:00:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	Conservative Party of Canada	Parti conservateur du Canada	Caisse	Yanick			23-Aug-21	6:00:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	New Democratic Party	Nouveau Parti démocratique	Gauvin	Catherine			27-Aug-21	9:30:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	People's Party of Canada	Parti populaire du Canada	Pettersen	Eric			27-Aug-21	3:30:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	Bloc Québécois	Bloc Québécois	Plamondon	Louis			21-Aug-21	8:00:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	Liberal Party of Canada	Parti libéral du Canada	Rochefort	Nathalie		(450) 278-3563	27-Aug-21	7:30:00
24009	Bécancour--Nicolet--Saurel	Bécancour--Nicolet--Saurel	Green Party of Canada	Le Parti Vert du Canada	Turcotte	David			30-Aug-21	5:30:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Free Party Canada	Parti Libre Canada	Arcand	Raymond			29-Aug-21	5:30:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	New Democratic Party	Nouveau Parti démocratique	Gagnon Gauthier	Marie-Philippe			27-Aug-21	7:00:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Independent	Indépendant(e)	Khuon	Chamroeun			26-Aug-21	7:00:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Green Party of Canada	Le Parti Vert du Canada	Lefebvre	Hélène			29-Aug-21	7:30:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Bloc Québécois	Bloc Québécois	Richard	Marie-Christine			26-Aug-21	10:30:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Liberal Party of Canada	Parti libéral du Canada	Vaillancourt	Daniel			27-Aug-21	10:00:00
24010	Bellechasse--Les Etchemins--Lévis	Bellechasse--Les Etchemins--Lévis	Conservative Party of Canada	Parti conservateur du Canada	Vien	Dominique			26-Aug-21	7:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	New Democratic Party	Nouveau Parti démocratique	Béliveau	Marie-Josée			25-Aug-21	7:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Bloc Québécois	Bloc Québécois	Blanchet	Yves-François			25-Aug-21	6:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Blondin	Michel			28-Aug-21	12:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	People's Party of Canada	Parti populaire du Canada	EJOV	Danila			29-Aug-21	7:30:00
24011	Beloeil--Chambly	Beloeil--Chambly	Green Party of Canada	Le Parti Vert du Canada	Gélinas Larrain	Fabrice			26-Aug-21	1:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Free Party Canada	Parti Libre Canada	Grimard	Mario			30-Aug-21	4:30:00
24011	Beloeil--Chambly	Beloeil--Chambly	Liberal Party of Canada	Parti libéral du Canada	Hamel	Marie-Chantal		(450) 813-0722	26-Aug-21	12:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Conservative Party of Canada	Parti conservateur du Canada	Robichaud	Stéphane			29-Aug-21	3:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Parti Rhinocéros Party	Parti Rhinocéros Party	Thibault-Vincent	Thomas			28-Aug-21	8:00:00
24011	Beloeil--Chambly	Beloeil--Chambly	Marijuana Party	Parti Marijuana	Vachon	Benjamin			30-Aug-21	12:00:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Liberal Party of Canada	Parti libéral du Canada	Bellemare	Alexandre			25-Aug-21	1:30:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	New Democratic Party	Nouveau Parti démocratique	Brosseau	Ruth Ellen			29-Aug-21	6:30:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Free Party Canada	Parti Libre Canada	Brown	Denis			30-Aug-21	4:00:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Marijuana Party	Parti Marijuana	Lamirande	Steven			29-Aug-21	9:30:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Bloc Québécois	Bloc Québécois	Perron	Yves			26-Aug-21	1:30:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Green Party of Canada	Le Parti Vert du Canada	Requilé	Laurence		(819) 268-4241	29-Aug-21	9:30:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	People's Party of Canada	Parti populaire du Canada	Sénécal	Geneviève			30-Aug-21	12:00:00
24012	Berthier--Maskinongé	Berthier--Maskinongé	Conservative Party of Canada	Parti conservateur du Canada	Soulières	Léo			24-Aug-21	9:00:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	People's Party of Canada	Parti populaire du Canada	Aubé	Vincent		(514) 291-6181	26-Aug-21	2:30:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	Liberal Party of Canada	Parti libéral du Canada	Ayoub	Ramez			24-Aug-21	9:23:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	Conservative Party of Canada	Parti conservateur du Canada	Bissonnette	Marc		(514) 871-8250	25-Aug-21	11:13:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	Bloc Québécois	Bloc Québécois	Chabot	Louise			21-Aug-21	4:08:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	Green Party of Canada	Le Parti Vert du Canada	Paré-Poupart	Simon			28-Aug-21	6:30:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	New Democratic Party	Nouveau Parti démocratique	Soumaoro	Julienne			25-Aug-21	3:48:00
24013	Thérèse-De Blainville	Thérèse-De Blainville	Free Party Canada	Parti Libre Canada	Tassignon	Peggy		(819) 323-1347	29-Aug-21	4:00:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	Bloc Québécois	Bloc Québécois	Barsalou-Duval	Xavier		(450) 857-1707	24-Aug-21	12:00:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	People's Party of Canada	Parti populaire du Canada	Blais	Alexandre			30-Aug-21	8:30:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	Free Party Canada	Parti Libre Canada	Boisvert	Carole			28-Aug-21	5:00:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	Liberal Party of Canada	Parti libéral du Canada	Girard	Louis-Gabriel			29-Aug-21	5:00:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	New Democratic Party	Nouveau Parti démocratique	Leprohon	Martin			24-Aug-21	1:00:00
24014	Pierre-Boucher--Les Patriotes--Verchères	Pierre-Boucher--Les Patriotes--Verchères	Conservative Party of Canada	Parti conservateur du Canada	Painchaud	Jérôme			24-Aug-21	8:00:00
24015	Bourassa	Bourassa	Bloc Québécois	Bloc Québécois	Dia	Ardo			29-Aug-21	9:00:00
24015	Bourassa	Bourassa	Liberal Party of Canada	Parti libéral du Canada	Dubourg	Emmanuel			25-Aug-21	2:00:00
24015	Bourassa	Bourassa	People's Party of Canada	Parti populaire du Canada	Lavoie	Michel			27-Aug-21	10:00:00
24015	Bourassa	Bourassa	Green Party of Canada	Le Parti Vert du Canada	Perrone	Nathe			26-Aug-21	9:30:00
24015	Bourassa	Bourassa	New Democratic Party	Nouveau Parti démocratique	Ponari	Nicholas			29-Aug-21	8:30:00
24015	Bourassa	Bourassa	Independent	Indépendant(e)	Prairie	Michel		(514) 272-5840	26-Aug-21	4:00:00
24015	Bourassa	Bourassa	Conservative Party of Canada	Parti conservateur du Canada	Sykes	Ilyasa			29-Aug-21	10:00:00
24016	Brome--Missisquoi	Brome--Missisquoi	Bloc Québécois	Bloc Québécois	Alarie	Marilou		(450) 306-1251	28-Aug-21	8:06:00
24016	Brome--Missisquoi	Brome--Missisquoi	Green Party of Canada	Le Parti Vert du Canada	Corcos	Michelle			30-Aug-21	6:57:00
24016	Brome--Missisquoi	Brome--Missisquoi	Veterans Coalition Party of Canada	Parti de la coalition des anciens combattants du Canada	Cotton	Lawrence			26-Aug-21	6:00:00
24016	Brome--Missisquoi	Brome--Missisquoi	Independent	Indépendant(e)	Desjardins	Dany		(450) 800-6172	30-Aug-21	5:16:00
24016	Brome--Missisquoi	Brome--Missisquoi	Conservative Party of Canada	Parti conservateur du Canada	Duhamel	Vincent			26-Aug-21	6:07:00
24016	Brome--Missisquoi	Brome--Missisquoi	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Lefebvre	Susanne			20-Aug-21	10:00:00
24016	Brome--Missisquoi	Brome--Missisquoi	New Democratic Party	Nouveau Parti démocratique	Panton	Andrew			28-Aug-21	6:45:00
24016	Brome--Missisquoi	Brome--Missisquoi	Free Party Canada	Parti Libre Canada	Richard	Maryse			30-Aug-21	5:06:00
24016	Brome--Missisquoi	Brome--Missisquoi	People's Party of Canada	Parti populaire du Canada	Stogowski	Alexis			26-Aug-21	5:45:00
24016	Brome--Missisquoi	Brome--Missisquoi	Liberal Party of Canada	Parti libéral du Canada	St-Onge	Pascale		(573) 552-2787	24-Aug-21	10:35:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	Conservative Party of Canada	Parti conservateur du Canada	Alves	Marcos			25-Aug-21	5:30:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	New Democratic Party	Nouveau Parti démocratique	Audet	Marc		(514) 718-8227	26-Aug-21	1:30:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	Bloc Québécois	Bloc Québécois	Desgagné	Marie-Laurence			30-Aug-21	5:00:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	Free Party Canada	Parti Libre Canada	Hu	Engineer-Ingénieur			29-Aug-21	10:00:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	Liberal Party of Canada	Parti libéral du Canada	Mendès	Alexandra		(450) 672-7619	25-Aug-21	11:45:00
24017	Brossard--Saint-Lambert	Brossard--Saint-Lambert	People's Party of Canada	Parti populaire du Canada	Ross	Brenda			27-Aug-21	1:30:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Bloc Québécois	Bloc Québécois	Blanchette-Joncas	Maxime		(581) 624-9911	25-Aug-21	1:00:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Independent	Indépendant(e)	Bureau-Civil	Noémi			25-Aug-21	11:00:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Conservative Party of Canada	Parti conservateur du Canada	Gagnon	France		(833) 713-0070	22-Aug-21	8:30:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Parti Rhinocéros Party	Parti Rhinocéros Party	Hodges	Megan			30-Aug-21	11:30:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Liberal Party of Canada	Parti libéral du Canada	Lajoie	Léonie			26-Aug-21	12:30:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	New Democratic Party	Nouveau Parti démocratique	Lajoie	Sylvain			30-Aug-21	5:00:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Free Party Canada	Parti Libre Canada	Raymond	Michel			29-Aug-21	9:00:00
24018	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	People's Party of Canada	Parti populaire du Canada	Tardy	Jean		1 800 671-6765	27-Aug-21	5:00:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	Liberal Party of Canada	Parti libéral du Canada	Coly	René-Paul			27-Aug-21	4:48:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	People's Party of Canada	Parti populaire du Canada	Cyr	Wayne			31-Aug-21	12:19:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	New Democratic Party	Nouveau Parti démocratique	Lacroix	Michel Marc			29-Aug-21	8:10:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	Bloc Québécois	Bloc Québécois	Lamontagne	Marie-Christine			21-Aug-21	9:10:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	Green Party of Canada	Le Parti Vert du Canada	Palardy-Dion	Jacques		(581) 681-4164	28-Aug-21	4:17:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	Conservative Party of Canada	Parti conservateur du Canada	Paul-Hus	Pierre		(481) 575-5350	21-Aug-21	7:30:00
24019	Charlesbourg--Haute-Saint-Charles	Charlesbourg--Haute-Saint-Charles	Free Party Canada	Parti Libre Canada	Pelletier	Daniel			30-Aug-21	7:19:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Green Party of Canada	Le Parti Vert du Canada	Amyot	Frédéric			30-Aug-21	11:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Liberal Party of Canada	Parti libéral du Canada	Bernier	Alexandra			29-Aug-21	8:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Bloc Québécois	Bloc Québécois	Desbiens	Caroline			27-Aug-21	12:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	New Democratic Party	Nouveau Parti démocratique	Du Verle	Frédéric			27-Aug-21	12:00:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Free Party Canada	Parti Libre Canada	Laplante	Chantal			29-Aug-21	6:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Conservative Party of Canada	Parti conservateur du Canada	Laprise	Véronique			25-Aug-21	11:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	People's Party of Canada	Parti populaire du Canada	Lefrançois	Jenniefer			27-Aug-21	4:30:00
24020	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Independent	Indépendant(e)	Lépine	Vicky			30-Aug-21	11:30:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	People's Party of Canada	Parti populaire du Canada	Benoit	Jeff			25-Aug-21	1:30:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Conservative Party of Canada	Parti conservateur du Canada	Bournaki	Pierre			23-Aug-21	7:00:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Gagnon	Marc			30-Aug-21	3:30:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Free Party Canada	Parti Libre Canada	Lafrance	André			28-Aug-21	6:30:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Bloc Québécois	Bloc Québécois	O'Hara	Patrick		(438) 882-8998	21-Aug-21	6:00:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Green Party of Canada	Le Parti Vert du Canada	Olivier	Frédéric			30-Aug-21	5:30:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	Liberal Party of Canada	Parti libéral du Canada	Shanahan	Brenda		(450) 691-0340	23-Aug-21	8:00:00
24021	Châteauguay--Lacolle	Châteauguay--Lacolle	New Democratic Party	Nouveau Parti démocratique	Wolker	Hannah			26-Aug-21	10:30:00
24022	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Bloc Québécois	Bloc Québécois	Bouchard	Julie		(418) 812-1096	23-Aug-21	12:00:00
24022	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Liberal Party of Canada	Parti libéral du Canada	Duplain	Jean			28-Aug-21	9:00:00
